company_name,company_url,date,review,stay_date,title,user
Anthurium Residential Hotel,https://www.booking.com/hotel/rw/anthurium-residential.html,"March 17, 2019","Sleepless nights due to rock hard bed and pillow and constant mosquitoes - no AC or ceiling fan and lots of holes in the windows so mosquitoes were unhindered! Staff could be more professional/competent. The actual rooms were pretty drab, no cleaning service during the day, either, and the restaurant was lacking in variety and consistency. It was also a bit of a noisy area. Relatively cheap; reliable; airport ride was great; friendly, accommodating staff",March 2019,"Guess you get what you pay for, but 40 USD per night really should go further!",First
Anthurium Residential Hotel,https://www.booking.com/hotel/rw/anthurium-residential.html,"November 28, 2018",They need to improve on their breakfast. It is just bread and fried egg period...! With their standard they should offer buffet breakfast.  The manger Patrick is a very good and responsive person. He came picking us from the airport and drop us for free. Even though we didn't inform him of our delayed arrival. ,November 2018,The manger Patrick is a very good and responsive person.,Kazeem
Anthurium Residential Hotel,https://www.booking.com/hotel/rw/anthurium-residential.html,"November 23, 2018",Nothing The room was super clean all through the time of my stay. The cleaners were also committed to keeping the property clean. The bed was perfect. The truth of the matter is that the hotel was more like a home for me,November 2018,My stay in the Hotel was an amazing time,Ojoneh
Anthurium Residential Hotel,https://www.booking.com/hotel/rw/anthurium-residential.html,"November 16, 2018",The wifi needs to be improve. Great services from all the staffs. They are always there to help you with smile. I loved the spanish omlet with fruits at the morning. ,November 2018,Feels like home at Kigali,A F M Nazmul Alam
Anthurium Residential Hotel,https://www.booking.com/hotel/rw/anthurium-residential.html,"November 6, 2018","Can be a bit noisy when the hotel is full, so you may want to bring earplugs Staff was very friendly and communication prior to arrival was also excellent.Rooms are clean and comfortable. No shortage of hot water. Included breakfast was good and I was also pleased with the quality and taste other meals I've had . This is hotel is a great option when staying in Kigali and I would recommend it to others.",October 2018,I'd recommend this hotel and would stay again. Staff is very friendly and helpful,Patricie
Anthurium Residential Hotel,https://www.booking.com/hotel/rw/anthurium-residential.html,"October 31, 2018",Better food and free drop to and from the airport The breakfast left a lot wanting. Please clean the cups. The room facilities were comfy and clean. Please provide a chair to sit and a phone for communication purposes. The food was not all that good.,October 2018,Fair,Dorothy
Anthurium Residential Hotel,https://www.booking.com/hotel/rw/anthurium-residential.html,"October 27, 2018","hotel location was little bit far from the city center but area was beautiful and safe to stay , neat and clean room view was very good from the window over all team always ready to help for anything .My 4 days stay was very good",October 2018,feel like a fantastic in resort stay,Muhammad
Anthurium Residential Hotel,https://www.booking.com/hotel/rw/anthurium-residential.html,"October 14, 2018","Tourist guide, Asking Clients if they know their way around. The customer Service was great, the breakfast was gud. The atmosphere great. Room Service was the best",October 2018,Awesome,Paul
Anthurium Residential Hotel,https://www.booking.com/hotel/rw/anthurium-residential.html,"September 29, 2018","None The environment was clean, view was really nice. The Staff were all friendly and helpful. They never got irritable, not minding how often I made demands of them.",September 2018,"I enjoyed my time in Anthrium Residence, Patrick was very hospitable and the staff were kind! Thanks",Adaobi
Anthurium Residential Hotel,https://www.booking.com/hotel/rw/anthurium-residential.html,"September 25, 2018",None I liked my stay there. the team is very kind and very helpful. the meal very delicious. Patrick the manager is very welcoming and very very nice. I can‘t wait to return to,September 2018,very good and beautiful place to stay,Anonymous
Anthurium Residential Hotel,https://www.booking.com/hotel/rw/anthurium-residential.html,"September 16, 2018","I arrived sick from Uganda so had hoped for some rest at this hotel. Unfortunately that did not happen and the few days I was there I got no sleep or rest. Upon my arrival I noticed the primary school right next to the hotel. The school is in full swing from 7:00 AM - 6:00 PM with kids screaming and shouting outside. Then to my horror the next morning I got woken up at 3:30 AM by all the roosters in the area and at 5:00 AM I heard singing, screaming, shouting, preaching in a microphone and instruments being played. It turns out there is a church choir right next to the hotel also. This is how I got woken up every morning while there and the choir went on until 9:00 PM. At 00:30 one night I got woken up by guests checking into the room next to mine. The entire hotel was empty so why put guests next to me in the middle of the night? The African guests who arrived were SUPER noisy so I knocked on the wall for them to be quiet. They then complained about me. What! So the night receptionist came to my room and asked what the problem was. The guests were moved to another floor and all the noise with the suitcases etc. got too much for me. Not all the staff spoke English which caused some confusion in the restaurant. When I got to Kigali I called the hotel for directions but no one answered my first 3 attempts. The same thing happened 4 other times when I was in town calling for directions back to the hotel. One of the times I was standing in the rain. No desk chair or desk/bed side lamps. Daily power cuts, the cable TV did not work very well when it rained and not at all the last day I was there. Paper thin walls, no elevator, 2 hangers only in the closet, the hotel charges more for the airport transportation than the regular taxis. No safe box or fridge in the room, no shower curtains, no fan or a/c. The hotel is quite far from downtown. No phone in the room. I would not stay here again or recommend this hotel to anyone who is looking for a quiet place. Nice hot shower, strong reliable WI-FI connection, a large room, super clean throughout, nice staff and owner, comfortable bed, good food but super slow service. New furniture in the rooms.",September 2018,Bring ear plugs and hope for the best!!!!!!!!!,Anonymous
Anthurium Residential Hotel,https://www.booking.com/hotel/rw/anthurium-residential.html,"August 8, 2018","None The staff (Patrick the manager and the receptionists) was very responsive and always ready to help. The WIFI worked well and hot water was always available. The hotel is clean and comfortable. The breakfast was offered with eggs and fruits. They helped us for public transport, and even kept our luggages for free when we went to Gisenyi AFTER the check out. We enjoyed our four days stay and would recommend anthurium residential without hesitation.",August 2018,"For me, best value for money hotel in Kigali",Durand P.
Anthurium Residential Hotel,https://www.booking.com/hotel/rw/anthurium-residential.html,"July 26, 2018","This hotel works very hard to make improvements, and they were very keen to hear our suggestions. The catering needs to speed up its service a little more. That’s all! Patrick, the Manager, was incredibly helpful to us at all times - especially when we had a unexpected financial problem which he went out of his way to help us solve. Lovely clean hotel, lots of attention to detail, wonderful atmosphere...I would strongly recommend it to absolutely ANYBODY!",July 2018,Absolutely delightful in virtually every respect,Alison
Anthurium Residential Hotel,https://www.booking.com/hotel/rw/anthurium-residential.html,"June 4, 2018","There was internet issue, it was not stable, at times especially in my room, it was not consistent.The breakfast needs a bit of beef up. they should add cereals and juices plus there has to be a variety Everything was supper, the bedding, the room, the staff",June 2018,Suppep,Phindile
Anthurium Residential Hotel,https://www.booking.com/hotel/rw/anthurium-residential.html,"May 9, 2018",The breakfast is limited. Should have a variety. Then get a curtain for the bathroom so that the water doesn't flow out when showering. It's a clean place with a nice view. Friendly staff. Nice rooms.,May 2018,Clean hotel,Jeff
Anthurium Residential Hotel,https://www.booking.com/hotel/rw/anthurium-residential.html,"April 29, 2018","None The owner of the hotel and his family are really friendly and helpful. They organised us a car for renting and a bus card. Our room was very clean and the food was delicious. We highly recommend this hotel!",April 2018,The owner of the hotel and his family are really friendly...,Esther
Anthurium Residential Hotel,https://www.booking.com/hotel/rw/anthurium-residential.html,"March 25, 2018",The meals could benefit from more variety. A continental breakfast would have been nice.  The Manager was a complete gentleman and professional. The staff were quite friendly and accommodating. ,March 2018,Great value for your money. ,Christopher
Anthurium Residential Hotel,https://www.booking.com/hotel/rw/anthurium-residential.html,"March 6, 2018","The food is exotic. Need to consider offering local delicacies such as matoke,etc The rooms are very clean spacious and airly. A lot of natural light getting in the room. ",March 2018,Nyamirambo light,Cawal
